,mean,sd,0.025quant,0.5quant,0.975quant,mode,kld
PAobs_intercept,-6.662,0.640,-7.917,-6.662,-5.407,-6.662,0
POobs_intercept,-21.306,0.366,-22.022,-21.306,-20.589,-21.306,0
distance_road,-2.761,0.551,-3.841,-2.761,-1.682,-2.761,0
humidity_meanAnn,0.335,0.280,-0.214,0.335,0.884,0.335,0
precip_warmQtr,1.356,0.359,0.654,1.356,2.059,1.356,0
soil_drainage,-0.544,0.126,-0.792,-0.544,-0.296,-0.544,0
solRad_winter,-0.485,0.258,-0.991,-0.485,0.021,-0.485,0
temp_minColdMonth,0.408,0.384,-0.344,0.408,1.160,0.408,0
temp_annRange,0.674,0.503,-0.312,0.674,1.660,0.674,0
topo_wetness,-0.131,0.238,-0.597,-0.131,0.336,-0.131,0
,,,,,,,
,,,,,,,
CRPS: ,0.000358146,,,,,,
