uid,Taxon,Long_DD,Lat_DD,Long_Error,Lat_Error,Source,Date_collect,Group
1,SYZmai,170,-40,NA,NA,CHR,1969,Swamp maire
2,SYZmai,170,-40,NA,NA,CHR,1978,Swamp maire
3,SYZmai,170,-40,NA,NA,NVS,1990,Swamp maire
4,SYZmai,170,-40,NA,NA,AK,1991,Swamp maire
5,SYZmai,170,-40,NA,NA,AK,1991,Swamp maire
6,SYZmai,170,-40,NA,NA,NVS,1993,Swamp maire
7,SYZmai,170,-40,NA,NA,NVS,1993,Swamp maire
8,SYZmai,170,-40,NA,NA,NVS,1993,Swamp maire
9,SYZmai,170,-40,NA,NA,NVS,1993,Swamp maire
10,SYZmai,170,-40,NA,NA,iNaturalist,2013,Swamp maire
11,SYZmai,170,-40,NA,NA,iNaturalist,2014,Swamp maire
12,SYZmai,170,-40,NA,NA,iNaturalist,2014,Swamp maire
13,SYZmai,170,-40,NA,NA,iNaturalist,2014,Swamp maire
14,SYZmai,170,-40,NA,NA,iNaturalist,2014,Swamp maire
15,SYZmai,170,-40,NA,NA,iNaturalist,2014,Swamp maire
16,SYZmai,170,-40,NA,NA,iNaturalist,2014,Swamp maire
17,SYZmai,170,-40,NA,NA,iNaturalist,2014,Swamp maire
18,SYZmai,170,-40,NA,NA,iNaturalist,2014,Swamp maire
19,SYZmai,170,-40,NA,NA,iNaturalist,2014,Swamp maire
20,SYZmai,170,-40,NA,NA,iNaturalist,2015,Swamp maire
21,SYZmai,170,-40,NA,NA,iNaturalist,2015,Swamp maire
22,SYZmai,170,-40,NA,NA,iNaturalist,2015,Swamp maire
23,SYZmai,170,-40,NA,NA,iNaturalist,2015,Swamp maire
24,SYZmai,170,-40,NA,NA,iNaturalist,2015,Swamp maire
25,SYZmai,170,-40,NA,NA,iNaturalist,2015,Swamp maire
26,SYZmai,170,-40,NA,NA,iNaturalist,2015,Swamp maire
27,SYZmai,170,-40,NA,NA,iNaturalist,2015,Swamp maire
28,SYZmai,170,-40,NA,NA,iNaturalist,2015,Swamp maire
29,SYZmai,170,-40,NA,NA,iNaturalist,2016,Swamp maire
30,SYZmai,170,-40,NA,NA,iNaturalist,2016,Swamp maire
31,SYZmai,170,-40,NA,NA,iNaturalist,2016,Swamp maire
32,SYZmai,170,-40,NA,NA,iNaturalist,2016,Swamp maire
33,SYZmai,170,-40,NA,NA,iNaturalist,2017,Swamp maire
34,SYZmai,170,-40,NA,NA,iNaturalist,2017,Swamp maire
35,SYZmai,170,-40,NA,NA,iNaturalist,2017,Swamp maire
36,SYZmai,170,-40,NA,NA,iNaturalist,2018,Swamp maire
37,SYZmai,170,-40,NA,NA,iNaturalist,2018,Swamp maire
38,SYZmai,170,-40,NA,NA,iNaturalist,2018,Swamp maire
39,SYZmai,170,-40,NA,NA,iNaturalist,2018,Swamp maire
40,SYZmai,170,-40,NA,NA,iNaturalist,2018,Swamp maire
41,SYZmai,170,-40,NA,NA,iNaturalist,2018,Swamp maire
42,SYZmai,170,-40,NA,NA,iNaturalist,2018,Swamp maire
43,SYZmai,170,-40,NA,NA,iNaturalist,2018,Swamp maire
44,SYZmai,170,-40,NA,NA,iNaturalist,2018,Swamp maire
45,SYZmai,170,-40,NA,NA,iNaturalist,2019,Swamp maire
46,SYZmai,170,-40,NA,NA,iNaturalist,2019,Swamp maire
47,SYZmai,170,-40,NA,NA,iNaturalist,2019,Swamp maire
48,SYZmai,170,-40,NA,NA,iNaturalist,2020,Swamp maire
49,SYZmai,170,-40,NA,NA,iNaturalist,2020,Swamp maire
50,SYZmai,170,-40,NA,NA,iNaturalist,2020,Swamp maire
51,SYZmai,170,-40,NA,NA,iNaturalist,2020,Swamp maire
52,SYZmai,170,-40,NA,NA,iNaturalist,2020,Swamp maire
53,SYZmai,170,-40,NA,NA,iNaturalist,2020,Swamp maire
54,SYZmai,170,-40,NA,NA,iNaturalist,2020,Swamp maire
55,SYZmai,170,-40,NA,NA,iNaturalist,2020,Swamp maire
56,SYZmai,170,-40,NA,NA,iNaturalist,2020,Swamp maire
57,SYZmai,170,-40,NA,NA,iNaturalist,2020,Swamp maire
58,SYZmai,170,-40,NA,NA,iNaturalist,2020,Swamp maire
59,SYZmai,170,-40,NA,NA,ColanBalkwillPhd,2021,Swamp maire
60,SYZmai,170,-40,NA,NA,ColanBalkwillPhd,2021,Swamp maire
61,SYZmai,170,-40,NA,NA,ColanBalkwillPhd,2021,Swamp maire
62,SYZmai,170,-40,NA,NA,ColanBalkwillPhd,2021,Swamp maire
63,SYZmai,170,-40,NA,NA,ColanBalkwillPhd,2021,Swamp maire
64,SYZmai,170,-40,NA,NA,ColanBalkwillPhd,2021,Swamp maire
